Word,Socialness,Concreteness,Valence_ext,Frequency,OLD,LDT_zRT,LDT_Accuracy,AoA.Rating,AoA.Test,WordType,zRTclean_mean,ACC,Hits,FalseAlarms,Hit_min_FA,Phonemes_no,phono_upoint,pld20_m,us_ldt_zrt_m,us_ldt_acc,us_ldt_zrtmdur_m,uk_ldt_zrt_m,uk_ldt_acc,uk_ldt_zrtmdur_m,sg_ldt_zrt_m,sg_ldt_acc,sg_ldt_zrtmdur_m,Length
mayhem,4.72,2.24,1.4100000000000001,2.041,2.8,0.323,0.68,10.37,13,Abstract,0.17,87.50%,0.75,0.15,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
mayonnaise,1.6363636363636365,4.9,0.6500000000000004,2.064,4.9,0.025,0.88,6.1,6,Concrete,-0.27,93.75%,NA,NA,NA,6,4,2.9,-0.287236044,0.941176471,-0.436763636,-0.176323187,0.890909091,-1.247331059,-0.19712192,0.905660377,-0.676222835,10
meager,2.1052631578947367,2.08,1.65,1.518,1.9,0.186,0.79,10.94,12,Abstract,0.11,64.52%,0.7,0.18,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
mean,3.9565217391304346,2.5,2.57,4.802,1.35,-0.626,1,4,2,NA,NA,NA,0.71,0.17,0.54,3,4,1,-0.070612447,0.746268657,0.393529167,-0.087608807,0.719298246,0.40035154,-0.481490723,0.925925926,0.204849821,4
meanie,4.476190476190476,2.43,1.83,1.342,2.15,0.459,0.79,4.79,4,Abstract,0.44,83.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
meaning,3.5416666666666665,1.85,1.4500000000000002,3.28,1.85,-0.643,0.97,6.1,2,Abstract,-0.17,93.55%,NA,NA,NA,5,6,1.85,-0.630787914,0.984615385,-0.340047264,-0.548918548,1,-0.265352826,-0.773570605,1,-0.099852401,7
meaningful,3.5454545454545454,1.62,1.79,2.248,4.15,-0.377,1,8.45,6,Abstract,-0.24,90.63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
meaningless,2.7434944237918217,1.86,2.05,2.396,3.85,0.063,1,10.44,6,Abstract,-0.25,96.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
meanness,4.2727272727272725,2.21,1.9100000000000001,1.431,2.6,-0.082,0.91,4.53,2,Abstract,-0.16,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
measurement,2.6818181818181817,3.26,0.11000000000000032,1.447,3.8,-0.121,1,6.05,4,NA,NA,NA,NA,NA,NA,9,6,3.2,-0.563354551,1,-1.692672623,-0.337812249,0.981818182,-1.017742946,-0.670057451,1,-0.648076648,11
meathead,3.090909090909091,2.97,1.62,NA,NA,NA,NA,11.33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
mechanical,2.347826086956522,3.17,0.6699999999999999,2.4,3.35,-0.44,0.97,8.85,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
mechanics,2.625,3.59,1,2.093,3.35,-0.326,1,10.95,8,Concrete,0.05,87.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
mechanism,2.7142857142857144,3.67,0.09999999999999964,2.281,3.15,-0.239,0.94,10.61,8,Concrete,0.24,58.06%,NA,NA,NA,9,7,2.9,-0.237584982,0.970149254,-0.622492877,-0.273104364,1,-0.440250366,-0.21679159,0.962264151,-0.64889506,9
medallion,3.142857142857143,4.68,0.8499999999999996,1.839,3.45,-0.017,0.81,10.26,8,Concrete,-0.19,90.32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
meddle,3.863636363636364,2.43,1.1400000000000001,1.806,1.85,0.006,0.81,10.22,6,Abstract,0.69,67.74%,0.65,0.27,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
mediation,4.409090909090909,2.6,0.5,1.398,2.4,-0.119,0.97,13.16,12,NA,NA,NA,NA,NA,NA,8,6,2.8,-0.050193614,0.969230769,-0.612096493,-0.079172211,1,-0.588906955,0.127888023,1,-0.609306553,9
medical,4.7272727272727275,3.07,0.21999999999999975,3.443,1.95,-0.545,0.94,8.68,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
medicate,3.375,3.04,0.8499999999999996,1.362,2.1,-0.238,0.97,10.53,NA,NA,NA,NA,NA,NA,NA,7,7,2.25,-0.219095518,0.984848485,-1.006732342,-0.592248976,0.947368421,-0.594509876,-0.225392522,0.981481481,-0.697369261,8
medication,3.727272727272727,4.53,1.35,2.815,2.55,-0.336,0.97,7.53,NA,Concrete,0.06,90.32%,NA,NA,NA,9,7,2.4,-0.582535335,1,-0.554259907,-0.253281347,0.982142857,-0.605282732,-0.254459174,1,-1.003636762,10
medicine,4.583333333333333,4.79,0.9000000000000004,3.242,2.75,-0.439,0.97,4.89,2,Concrete,-0.17,93.33%,NA,NA,NA,7,5,2.4,-0.66460339,1,-0.388945283,-0.73979509,0.98245614,-0.146000864,-0.718061291,1,-0.636118228,8
medieval,3.5,2.46,0.5999999999999996,2.182,3.3,0.06,0.91,9.67,10,Abstract,0.71,46.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
mediocre,3.52,1.62,0.5700000000000003,1.857,3.4,0.144,0.74,11.59,12,Abstract,0.14,90.32%,NA,NA,NA,8,5,3.45,-0.313537161,0.985074627,-0.559737116,0.148967429,0.947368421,-0.264225111,-0.052000398,0.925925926,-0.522109848,8
mediocrity,3.8,1.33,1.29,1.568,4.1,0.367,0.74,12.37,NA,Abstract,0.05,93.55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
meditate,3.9565217391304346,3.25,1.4699999999999998,1.724,2.45,-0.13,1,11.44,10,NA,NA,NA,NA,NA,NA,7,7,2.5,-0.541900581,1,-0.655365808,-0.588857902,1,-0.780416446,-0.201765743,1,-0.521999925,8
meditation,4.105263157894737,2.85,2.21,1.929,2.4,-0.157,1,10.47,6,NA,NA,NA,NA,NA,NA,9,7,2.45,-0.385982525,1,-0.786840964,-0.008032468,1,-1.011240985,-0.047164266,1,-0.830900792,10
medium,2.8947368421052633,3,0.15000000000000036,2.56,2.35,-0.63,1,7.67,4,NA,NA,NA,NA,NA,NA,6,6,1.9,-0.450535948,0.970588235,0.15153405,-0.181896979,0.944444444,0.142089549,-0.546736645,0.943396226,-0.086660274,6
medley,2.863636363636364,2.93,1.5999999999999996,1.518,2.7,-0.186,0.88,10,10,NA,NA,NA,0.8,0.25,0.55,5,5,1.85,-0.486720308,0.893939394,0.183209717,-0.647684478,0.947368421,0.54520107,-0.217951004,0.818181818,0.362787073,6
meek,3.5,2.22,0.08000000000000007,1.949,1.7,-0.277,0.86,9.7,8,Abstract,0.01,78.13%,0.81,0.23,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
meet,5.916666666666667,3,1.0899999999999999,4.255,1.65,-0.614,1,4.74,2,NA,NA,NA,0.74,0.36,0.38,3,4,1,-0.608701228,0.940298507,0.149983963,-0.778963821,0.964912281,-0.093343712,-0.682498402,0.814814815,0.250728588,4
meeting,6.625,3.31,0.4500000000000002,3.829,1.9,-0.463,1,5.72,2,NA,NA,NA,0.58,0.12,0.47,5,4,1.55,-0.546349309,0.863636364,0.211235149,-0.621301537,1,-0.023859865,-0.462256402,0.907407407,-0.149858982,7
melancholy,4.304347826086956,2,1.2599999999999998,2.049,4.8,-0.063,0.94,12.53,12,Abstract,-0.24,93.33%,NA,NA,NA,9,6,3.95,0.590566821,0.731343284,0.089869158,0.163976033,0.732142857,-0.017614055,0.515136131,0.537037037,-0.06255158,10
melodrama,5.1,2.14,0.75,1.556,4.25,0.151,0.88,13.17,10,Abstract,0.57,87.10%,NA,NA,NA,9,7,4.45,0.026015836,0.970588235,-0.424870069,0.425803857,0.888888889,-0.293865532,-0.185551015,0.905660377,-0.553480997,9
melody,3.3333333333333335,3.71,1.6500000000000004,2.529,2.6,-0.296,0.97,6.58,4,Concrete,0.63,41.94%,NA,NA,NA,6,6,1.95,-0.470124216,0.984848485,-0.050843072,-0.672710634,0.982142857,0.018199235,-0.566013724,1,0.007343989,6
melon,1.6363636363636365,4.78,1.3200000000000003,2.34,1.95,-0.63,0.97,4.21,2,Concrete,-0.74,100.00%,0.78,0.08,0.7,5,6,1.9,-0.496154412,0.985294118,0.343012528,-0.406865396,0.945454545,0.257176893,-0.404591188,0.905660377,0.330492549,5
meltdown,3.6666666666666665,3.17,1.9500000000000002,NA,NA,NA,NA,10.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
member,5.454545454545454,3.07,0.9500000000000002,3.167,1.9,-0.61,0.97,8.2,2,NA,NA,NA,0.7,0.18,0.52,6,7,1.95,-0.412633013,0.893939394,0.072506066,-0.441187227,0.98245614,0.351961298,-0.558247304,0.981818182,-0.065939588,6
membership,5.956521739130435,3.04,0.6100000000000003,2.22,4.15,-0.168,0.97,7.78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
memento,3.090909090909091,3.35,1.7999999999999998,1.819,2.6,-0.288,0.72,11.12,8,NA,NA,NA,NA,NA,NA,7,7,2.65,-0.031012742,0.96969697,-0.175174084,-0.040329973,0.912280702,-0.015862091,0.267927063,0.927272727,-0.114998854,7
memorable,4.375,1.79,1.54,2.064,2.95,-0.414,1,9.47,8,Abstract,0.04,96.88%,NA,NA,NA,9,8,2.65,-0.411164008,1,-0.414657589,-0.480892497,0.98245614,-0.213667411,-0.145520776,0.981818182,-0.324669999,9
memorandum,3.5714285714285716,3.48,0.5,1.447,4.6,0.244,0.88,13.82,8,NA,NA,NA,NA,NA,NA,10,6,4.7,0.497646656,0.671641791,-0.075281508,0.567730027,0.611111111,0.028542132,0.620296438,0.452830189,0.100757541,10
memorial,5.0476190476190474,3.68,0.7199999999999998,2.558,2.75,-0.537,1,8.32,NA,Concrete,0.66,45.16%,NA,NA,NA,8,9,2.85,-0.447122349,1,-0.567860131,-0.122838445,0.981481481,-0.39130136,-0.389993945,1,-0.317323951,8
memorize,2.857142857142857,3.3,0.7000000000000002,2.173,2.65,-0.364,0.97,6.47,2,NA,NA,NA,NA,NA,NA,7,6,2.6,-0.368806037,0.955223881,-1.125598703,-0.336770329,0.964285714,-1.335743375,-0.319540317,1,-0.955668227,8
memory,4.2727272727272725,2.38,1.58,3.394,2.55,-0.594,0.97,6.4,2,Abstract,-0.11,77.42%,NA,NA,NA,6,6,1.9,-0.690667682,1,-0.474560397,-0.871507299,0.981818182,-0.046888561,-0.746240963,0.981132075,-0.356551999,6
menace,4.913043478260869,2.3,1.87,2.281,2.1,-0.299,0.97,9.47,8,Abstract,0.57,75.00%,0.75,0.33,0.42,5,6,1.85,-0.582289734,0.955223881,-0.298134046,-0.241831997,0.821428571,-0.068902905,-0.399658705,0.925925926,-0.059548878,6
mend,3.3333333333333335,3.5,1.5300000000000002,2.127,1.3,-0.498,0.97,9.11,2,NA,NA,NA,0.71,0.15,0.56,4,5,1.2,-0.140362775,0.925373134,0.551100707,-0.151430416,0.859649123,0.356487675,-0.302868412,0.944444444,0.486488803,4
meningitis,2.85,4.11,2.45,1.568,4.65,0.607,0.81,12.68,10,Concrete,0.45,93.55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
menopause,3.45,3.19,3.1100000000000003,1.806,4.15,-0.03,0.94,14.56,12,NA,NA,NA,NA,NA,NA,7,5,3.45,0.007690643,0.985294118,-0.800048698,-0.3642183,0.963636364,-1.033621102,0.058942087,0.981132075,-0.771473616,9
menstrual,4.1,3.27,2.21,1.447,NA,NA,NA,10.83,NA,NA,NA,NA,NA,NA,NA,9,7,3.5,-0.265402649,0.96969697,-0.150850566,0.003909194,0.912280702,-0.013982051,0.258415937,0.818181818,0.080868434,9
mental,5.190476190476191,2.04,0.41999999999999993,3.001,1.8,-0.695,1,8.84,6,Abstract,0.4,87.50%,0.73,0.32,0.42,5,5,1.75,-0.384240051,0.970588235,0.123953936,-0.644861645,1,0.306936544,-0.393690794,0.981132075,-0.103437039,6
mentality,4.96,2,0.2400000000000002,2.037,2.7,-0.015,1,10.32,4,Abstract,-0.02,96.77%,NA,NA,NA,9,5,2.85,-0.274643744,1,-0.849001003,-0.080134569,1,-0.52768007,-0.16708383500000001,0.962962963,-0.760443991,9
menthol,1.6666666666666667,3.85,0.09999999999999964,1.362,2.75,-0.361,1,11.11,10,Concrete,0.12,100.00%,NA,NA,NA,6,4,2.85,0.411180869,0.686567164,0.440574685,0.547477054,0.574074074,0.751840122,-0.056431729,0.754716981,0.266068584,7
mention,3.8461538461538463,2.69,0.3899999999999997,3.482,2.4,-0.303,0.94,8.06,4,NA,NA,NA,0.5,0.18,0.32,6,4,2.05,-0.814307794,0.96969697,-0.053272527,-0.479878092,0.946428571,0.22116228,-0.667406819,0.963636364,-0.317063539,7
mentor,5.916666666666667,3.7,2.05,2.253,2,-0.323,1,11.37,12,Concrete,-0.16,100.00%,0.82,0.43,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
merchandise,3.56,4.52,0.20999999999999996,2.391,4.2,-0.222,1,9.26,6,Concrete,0.03,86.67%,NA,NA,NA,9,9,3.85,-0.373716325,0.984848485,-1.120716072,0.072255952,1,-1.415839487,-0.204753301,0.962962963,-1.15827084,11
merchant,5.368421052631579,4.31,0.20999999999999996,2.167,2.85,-0.392,0.97,9.8,4,Concrete,-0.51,96.88%,0.77,0.33,0.43,7,7,2.55,-0.419786397,0.939393939,-0.664258522,-0.255233477,0.98245614,-0.394423356,-0.308599086,0.981818182,-0.145320599,8
merciful,5.428571428571429,1.63,2,2.253,3.75,-0.076,0.94,8.11,6,Abstract,-0.23,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
merciless,4.6,1.96,1.9500000000000002,1.792,3.45,0.039,0.97,11.44,6,Abstract,0.04,96.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
mercy,5.130434782608695,1.57,1.4000000000000004,3.111,1.95,-0.593,1,8.74,6,Abstract,-0.52,90.32%,0.63,0.13,0.5,5,5,1.95,-0.545836676,0.96969697,-0.117336055,-0.57407949,0.964912281,0.085289639,-0.753221405,0.925925926,-0.37082688,5
mere,1.6666666666666667,1.43,0.3200000000000003,2.604,1.65,-0.117,0.85,9.41,8,Abstract,-0.02,90.32%,0.64,0.12,0.52,3,4,1,-0.299452304,0.621212121,0.514268849,-0.21676122,0.561403509,0.908958742,-0.35070351,0.727272727,0.641687115,4
merge,3.8333333333333335,3.24,0.04999999999999982,1.857,1.6,-0.396,1,10.68,8,NA,NA,NA,0.76,0.23,0.54,4,5,1.5,-0.321991778,0.939393939,-0.065804579,-0.082866367,0.877192982,-0.360940648,-0.100042512,0.703703704,0.260214647,5
merger,3.952380952380953,2.34,0.9100000000000001,2.308,1.7,-0.309,1,13.1,12,Abstract,0.6,45.16%,NA,NA,NA,6,5,1.8,-0.43886222,0.970588235,-0.024930877,-0.151415933,0.888888889,-0.078934648,-0.39719605,0.962264151,-0.225572452,6
merit,4.666666666666667,1.66,1.9400000000000004,2.24,1.95,-0.427,1,10.47,8,Abstract,0.12,83.87%,0.83,0.17,0.67,5,6,1.8,-0.215314985,0.772727273,-0.208374591,-0.262950333,0.842105263,0.327678969,-0.202917691,0.909090909,0.11548322,5
message,5.7727272727272725,3.97,1.1799999999999997,3.669,2.7,-0.644,0.97,6.32,2,Concrete,0.04,71.88%,0.78,0.2,0.58,5,4,2.05,-0.39623008,0.985294118,-0.517671646,-0.570402893,1,-0.40144962,-0.390027466,1,-0.236345007,7
messenger,5.916666666666667,3.89,0.6500000000000004,2.615,3.35,-0.593,0.97,7.58,2,Concrete,-0.67,100.00%,NA,NA,NA,8,4,3.25,-0.072868523,1,-0.382366703,-0.087688925,0.907407407,-0.018316727,-0.393954204,1,-0.337290004,9
messiah,5.3,3.26,1.67,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
metabolic,2.4545454545454546,2.44,0.11000000000000032,1.613,3.5,-0.293,1,12.75,NA,Abstract,0.55,65.63%,NA,NA,NA,9,5,3.75,0.423360286,0.861538462,-0.080014146,-0.091432548,0.982142857,-0.370691342,0.130254326,0.981481481,-0.092068077,9
metabolism,2.782608695652174,2.27,0.40000000000000036,1.748,3.7,-0.378,1,12,12,Abstract,0.4,48.39%,NA,NA,NA,11,8,4.15,-0.172898722,0.954545455,-0.528909397,-0.203178788,0.964285714,-0.484528651,-0.035487089,0.981481481,-0.653304982,10
metal,1.3636363636363635,4.87,0.04999999999999982,2.997,1.75,-0.683,0.97,5.61,4,Concrete,-0.71,100.00%,0.8,0.18,0.62,4,5,1.45,-0.775736657,0.985074627,0.349565768,-0.763467174,0.981481481,-0.009712682,-0.707203658,0.981132075,0.216661781,5
metallic,2.347826086956522,4.03,0.2599999999999998,1.833,3.3,-0.307,0.97,9.63,6,Concrete,0.18,86.67%,NA,NA,NA,7,5,2.8,-0.14805461,1,-0.587215991,-0.515616439,0.928571429,-0.340911624,-0.412060366,1,-0.39795341,8
metamorphosis,3.0833333333333335,3.11,0.25,1.462,5.4,0.119,1,11.8,10,NA,NA,NA,NA,NA,NA,12,9,5.3,0.894460018,0.909090909,-0.914713149,0.760208775,0.824561404,-1.110857779,0.934145578,0.854545455,-1.002980762,13
metaphor,2.652173913043478,1.94,1.1100000000000003,2.299,3.6,-0.367,0.94,11.59,12,Abstract,-0.03,53.13%,NA,NA,NA,7,6,2.65,-0.460475924,1,-0.356430377,-0.451254882,1,-0.257418878,-0.498226539,1,-0.197875366,8
metaphysical,2.526315789473684,1.54,0.4800000000000004,1.633,4.75,0.396,0.91,14.5,13,Abstract,0.89,65.63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
meteorite,1.9523809523809523,4.6,2.25,1.623,3.35,0.173,0.91,8.84,4,Concrete,0.48,87.50%,NA,NA,NA,8,7,3.25,0.28162938,0.597014925,-0.075663758,0.088073169,0.875,-0.461594223,-0.115482082,0.888888889,-0.639403793,9
methane,2,4.32,1.52,1.771,2.9,-0.016,0.85,13.21,12,Concrete,-0.15,96.77%,0.88,0.03,0.85,5,4,2.75,0.08156813,0.742424242,0.068756292,-0.006981273,0.754385965,0.296627357,-0.30730013900000003,0.890909091,-0.376901958,7
method,2.272727272727273,2.41,0.20000000000000018,2.605,2.65,-0.338,1,11.15,6,Abstract,0.26,77.42%,0.68,0.28,0.4,5,6,1.95,-0.509590928,0.924242424,-0.220072909,-1.065555993,0.964912281,0.039937845,-0.635984225,0.981818182,0.077987045,6
methodical,3.260869565217391,1.93,0.11000000000000032,1.431,3.3,-0.042,0.97,12.74,13,Abstract,0.43,78.13%,NA,NA,NA,9,10,3.25,0.290940599,0.779411765,0.076447579,0.113765648,0.8,0.255050116,0.14872887,0.679245283,-0.588053014,10
methodology,3.75,1.76,0.16000000000000014,1.532,4.2,0.35,0.84,14.13,NA,Abstract,0.57,70.97%,NA,NA,NA,10,6,3.8,0.117629332,0.96969697,-0.755688392,-0.273841965,0.982142857,-0.728482572,0.099625609,0.963636364,-0.97635266,11
meticulous,3.608695652173913,1.9,0.13999999999999968,1.724,4.2,0.042,0.76,11.47,12,Abstract,0.24,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
metric,1.9090909090909092,3.14,0.04999999999999982,1.415,2.4,-0.073,0.94,10.16,6,NA,NA,NA,NA,NA,NA,6,5,2.55,-0.25774965,0.939393939,-0.395681544,-0.509793117,0.947368421,-0.029558557,-0.157798779,0.872727273,-0.061289306,6
metropolis,6,3.89,0.04999999999999982,1.724,4.45,-0.02,0.88,12.06,6,Concrete,0.15,84.38%,NA,NA,NA,10,5,3.8,0.087495376,0.895522388,-0.886680538,-0.174298013,0.833333333,-0.723866475,-0.039686756,0.886792453,-0.90225401,10
metropolitan,6.105263157894737,2.89,0.8399999999999999,1.887,5.65,0.181,0.97,11.59,8,NA,NA,NA,NA,NA,NA,11,6,5.3,0.498539062,0.895522388,-0.62764057,0.607696752,0.892857143,-0.381573734,0.356743693,0.87037037,-0.685531249,12
microfilm,2.125,4.37,0.5300000000000002,1.833,4.35,0.019,0.91,12.12,8,Concrete,0.32,80.65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
microphone,2.6666666666666665,4.88,0.11000000000000032,2.367,3.65,-0.138,1,6.25,4,Concrete,-0.61,100.00%,NA,NA,NA,8,7,3.35,-0.134567296,0.984848485,-0.655400678,0.170839682,0.964912281,-0.509978176,0.310097115,0.944444444,-0.609037582,10
microscope,2.1904761904761907,5,1.33,2.114,3.3,0.078,1,9.16,4,Concrete,-0.57,100.00%,NA,NA,NA,9,8,3.85,-0.15407671,0.985074627,-0.55156559,-0.201435457,1,-0.992045578,-0.391520375,0.981481481,-0.27764642,10
microscopic,1.761904761904762,3.46,0.2400000000000002,1.771,4.15,0.136,0.97,10.11,6,NA,NA,NA,NA,NA,NA,11,10,4.95,0.399110573,0.984848485,-1.050434771,0.370008758,0.98245614,-0.930884462,0.075003251,0.981818182,-0.805100738,11
microwave,1.7142857142857142,4.34,0.25,2.301,3.95,-0.295,0.97,7.67,12,Concrete,-0.57,96.77%,NA,NA,NA,8,6,3.85,0.147408044,0.939393939,-0.772047842,-0.09930158,0.964912281,-0.74585839,0.135210413,0.981818182,-0.950657456,9
mid,1.7142857142857142,2.69,0.20999999999999996,1.813,NA,NA,NA,10.32,6,NA,NA,NA,NA,NA,NA,3,4,1,-0.266731268,0.71641791,0.910483518,-0.382574838,0.767857143,0.916539267,-0.025587394,0.592592593,1.065661719,3
midair,1.6666666666666667,3.32,0,1.556,2.9,0.382,0.75,9.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
middleman,5.136363636363637,2.79,0.7599999999999998,1.623,3.7,0.07,0.97,10.89,10,NA,NA,NA,NA,NA,NA,7,5,3.15,-0.381148621,0.96969697,-0.334413508,-0.640256996,0.98245614,-0.204657111,-0.511658569,1,-0.590938527,9
middleweight,3.4545454545454546,3.07,0.9000000000000004,1.643,5.55,0.304,0.97,9.83,8,NA,NA,NA,NA,NA,NA,7,5,2.85,0.312169873,0.575757576,0.067070012,0.604019819,0.625,0.261746509,0.579035707,0.563636364,0.040242186,12
midlife,4.043478260869565,3.07,0.29000000000000004,NA,NA,NA,NA,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
midline,1.9,3.42,0.20999999999999996,NA,NA,NA,NA,11.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
midnight,2.238095238095238,3.14,1.1799999999999997,3.161,3.45,-0.276,1,6.21,2,NA,NA,NA,0.68,0.08,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
midst,2.4761904761904763,2.33,0.25,2.245,1.85,-0.3,0.86,10.89,6,Abstract,0.27,87.10%,0.71,0.1,0.61,5,6,1.85,0.360848828,0.462686567,0.491968743,0.528110842,0.5,0.709646838,0.369589392,0.462962963,0.908384683,5
midsummer,2.4583333333333335,3.36,1.2400000000000002,1.491,3.95,-0.101,1,8.94,2,NA,NA,NA,NA,NA,NA,8,5,3,-0.083262471,0.907692308,-0.0354181,-0.018885408,0.910714286,0.34570551,0.520440824,0.777777778,0.14625288,9
midtown,3.84,3.46,0.8300000000000001,NA,NA,NA,NA,9.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
midwife,5.590909090909091,4.56,0.6500000000000004,1.477,3.1,-0.058,1,10.89,12,Concrete,-0.38,96.77%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
mighty,4.083333333333333,2.61,1.4500000000000002,3.132,1.9,-0.46,1,5.63,2,NA,NA,NA,NA,NA,NA,4,4,1.7,-0.338933977,0.731343284,0.380758491,-0.431039429,0.851851852,0.335202298,-0.135963,0.886792453,0.11422776,6
migraine,2.9565217391304346,3.2,2.32,1.982,2.85,0.078,0.94,10,12,NA,NA,NA,NA,NA,NA,6,6,2.65,-0.070388345,0.970149254,-0.292125717,-0.269318552,0.944444444,-0.002333922,0.17780225,0.962264151,0.155724487,8
migrate,4.72,3.15,0.4299999999999997,1.342,2.05,-0.172,0.94,9.62,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
migration,5.7894736842105265,3.55,0.4800000000000004,1.532,2.7,-0.251,1,9.67,6,Concrete,0.44,40.00%,NA,NA,NA,8,6,2.7,-0.251671484,1,-0.673594845,-0.383540678,0.981481481,-0.608282225,-0.120165398,1,-1.005729561,9
mileage,2.272727272727273,3.47,0.9000000000000004,2.009,2.75,-0.157,0.88,10.22,4,NA,NA,NA,0.78,0.05,0.73,5,4,1.95,-0.162972225,0.923076923,-0.291483688,0.12956461,0.807017544,-0.036346128,0.418456834,0.740740741,0.163274965,7
milestone,3.590909090909091,3.22,1.8499999999999996,1.568,3.15,-0.391,0.97,11.62,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
militant,5.7368421052631575,2.62,1.0499999999999998,1.663,2.85,0.044,0.91,12.59,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
milkshake,1.8095238095238095,4.97,2.26,1.633,3.95,-0.268,1,4.89,2,Concrete,-0.62,100.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
milky,2.0869565217391304,3.52,0,1.982,1.85,-0.09,1,6.32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
millennium,3.56,2.63,0.15000000000000036,2.342,4.65,-0.221,1,10.78,13,NA,NA,NA,NA,NA,NA,8,5,3.15,-0.190517299,0.939393939,-0.040123711,-0.328918569,0.947368421,-0.180892334,-0.051346906,0.909090909,0.166894248,10
milligram,1.4285714285714286,3.61,0.28000000000000025,1.462,3.75,-0.034,0.82,10.05,13,Concrete,0.25,83.87%,NA,NA,NA,8,5,3,-0.128000062,0.895522388,-0.332672667,-0.395413662,1,-0.006478604,-0.093767386,0.924528302,-0.365620035,9
millimeter,1.2173913043478262,4.38,0.13999999999999968,1.851,3.9,0,0.94,9.37,8,Concrete,-0.09,83.87%,NA,NA,NA,9,5,3.65,0.062621372,0.805970149,0.121234216,-0.128014598,0.857142857,-0.255807984,0.105248291,0.833333333,-0.052499265,10
million,2.6666666666666665,2.9,2.55,3.789,2.4,-0.398,1,6.47,4,NA,NA,NA,NA,NA,NA,6,7,1.85,-0.437464667,0.955882353,0.073624956,-0.670037707,0.872727273,0.279366778,-0.473442481,0.905660377,0.084133297,7
