word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
boatman,6,4,2.3,0.656946685331786,0.854545455,55,0.848484848,66,0.877192982,57,0.077921574,0.75595964,45,-0.268029641,0.759215155,51,-0.458481379,0.711105962,48,0.274825977,0.824871719,45,-0.182823667,0.665189145,51,0.373686197,0.773755504,48,NA
bodily,6,5,2,0,0.62962963,54,0.242424242,66,0.719298246,57,0.11725701,0.833845637,32,-0.357783113,0.85071124,16,-0.521728877,0.805093467,37,0.240213955,0.803151236,32,0.234896106,0.764477496,16,0.737283796,0.782288729,37,NA
Bohemian,8,8,3.65,0.7451598203705939,0.888888889,54,0.923076923,65,0.964912281,57,-0.183161456,0.509840348,48,-0.348047805,0.536737713,58,-0.541238763,0.557657176,53,-0.570213903,0.46700596,48,-0.353568907,0.571534778,58,-0.197155599,0.562370232,53,NA
bold,4,5,1.15,0.36634754853252305,0.830188679,53,0.867647059,68,0.833333333,54,0.342905471,0.891168749,43,0.202303442,0.903685884,53,0.03739095,0.72735574,43,0.696701292,0.831328723,43,0.623292584,0.864293993,53,0.091565521,0.663688351,43,NA
bombardment,11,8,4.75,0.444261658319319,0.907407407,54,0.925373134,67,0.982142857,56,0.131455378,0.626075658,45,0.015503634,0.628849511,59,0.056887815,0.685242868,54,-0.755100835,0.568292144,45,-0.798646835,0.575534403,59,-0.846220173,0.63904243,54,NA
bomber,5,4,1.85,0.36634754853252305,0.777777778,54,0.8,65,0.666666667,57,-0.114960622,0.782061653,41,-0.282922065,0.998652964,51,-0.206730409,0.92182352,34,0.300005723,0.799384815,41,0.398543366,0.912479602,51,0.889781645,0.984596305,34,NA
bombshell,6,4,2.95,0.223606797749978,0.905660377,53,0.882352941,68,1,55,0.151605506,0.735118431,48,-0.020181466,0.696277835,59,-0.506849861,0.724648839,52,-0.07140234,0.714044501,48,-0.252408498,0.679074775,59,-0.051176592,0.68694697,52,NA
bondage,6,6,2.35,0.670820393249936,0.836363636,55,0.939393939,66,0.929824561,57,0.197569279,0.631003711,45,-0.353966231,0.599896859,62,-0.488839476,0.485884047,53,-0.255399564,0.546531047,45,-0.485769374,0.607536143,62,-0.750166825,0.601405712,53,NA
bondsman,8,5,3.2,0.615587011251092,0.333333333,54,0.328358209,67,0.375,56,0.454196211,0.68488494,15,0.373247121,0.899326513,19,0.113876475,0.513984113,19,0.087909988,0.453910002,15,0.897538168,0.924967615,19,0.485703949,0.509680599,19,NA
bonfire,7,4,2.9,0.307793505625546,0.905660377,53,0.955223881,67,0.888888889,54,0.107666241,0.536805307,48,0.197565421,0.642358079,64,-0.386620945,0.461900597,48,-0.80573545,0.441489465,48,-0.406774284,0.665165676,64,-0.320170403,0.449444102,48,NA
bonnet,5,4,1.95,0.223606797749979,0.8,55,0.757575758,66,0.75,56,-0.097914913,0.790769433,42,-0.297038667,0.80698946,47,-0.698053742,0.818801401,39,0.459689381,0.819045249,42,0.57866568,0.894255176,47,0.109423695,0.788926467,39,NA
bonus,5,5,1.8,0.410391340834061,0.963636364,55,1,66,1,57,-0.454761682,0.601765376,53,-0.722034864,0.558142287,65,-0.974541762,0.431374843,57,-0.705126342,0.571902147,53,-0.575882623,0.526523434,65,-0.826704219,0.441199787,57,NA
bookcase,6,5,3,0,0.872727273,55,0.96969697,66,0.892857143,56,0.282016431,0.740140972,47,-0.097367515,0.901497288,63,0.048837497,0.727612378,48,-0.164747279,0.722059729,47,-0.625390853,0.833687955,63,-0.632753378,0.676852138,48,NA
booklet,6,4,2.8,0.410391340834061,0.981132075,53,0.940298507,67,0.907407407,54,-0.60878476,0.650812562,51,-0.578895799,0.596992115,61,-0.305620586,0.694649717,49,-0.09810423,0.481699175,51,-0.127385012,0.694377103,61,-0.041825952,0.693190677,49,NA
boomerang,7,4,3.4,0.5982430416161191,0.981481481,54,1,67,1,56,-0.675481605,0.40642924,53,-0.40594644,0.457028188,66,-0.902248244,0.578841468,56,-0.739144676,0.401451211,53,-0.586336628,0.418517211,66,-0.539992425,0.587724333,56,NA
boost,4,5,1.6,0.502624689950034,0.963636364,55,0.924242424,66,0.964912281,57,-0.611213728,0.696409868,51,-0.169265015,0.566626502,60,-0.719210733,0.742557909,55,0.076350414,0.702080186,51,-0.360723125,0.57894626,60,-0.121611306,0.698206826,55,NA
bootleg,6,7,2.8,0.410391340834061,0.703703704,54,0.787878788,66,0.771929825,57,0.431862473,0.621023945,37,-0.357544108,0.619265305,50,-0.060860161,0.581493157,44,0.167124176,0.537029605,37,-0.213593906,0.642289792,50,0.60228429000000006,0.640034663,44,NA
boredom,6,6,1.9,0.307793505625546,0.811320755,53,0.985074627,67,0.907407407,54,-0.001700948,0.739305782,43,-0.587505349,0.546320733,65,-0.617421267,0.651900546,49,0.464534032,0.733276457,43,0.203341675,0.629026506,65,0.222767365,0.57379787,49,NA
born,4,5,1.25,0.444261658319319,0.818181818,55,0.954545455,66,0.98245614,57,0.039450983,0.709436784,42,-0.395994597,0.614320988,62,-0.51068536,0.702440146,56,0.466596202,0.728841124,42,0.202078283,0.661219878,62,0.188381008,0.41682932,56,NA
borrow,4,4,1.6,0.502624689950034,0.927272727,55,0.96969697,66,0.946428571,56,-0.915330064,0.609734122,50,-0.433107494,0.643536841,62,-0.841368996,0.608897432,53,0.043547945,0.572150115,50,0.140008703,0.688269527,62,0.131366203,0.650208457,53,NA
botanical,9,5,3.35,0.670820393249936,0.888888889,54,0.955223881,67,0.894736842,57,-0.017541027,0.591171435,46,-0.047658699,0.480497117,63,-0.366914475,0.501106591,49,-0.148028425,0.537403527,46,-0.203924042,0.472091756,63,-0.030867577,0.559735629,49,NA
bottle,4,5,1.6,0.502624689950034,0.944444444,54,0.787878788,66,0.98245614,57,-0.376574386,0.678607873,51,-0.944183113,0.780274053,52,-1.113922392,0.625347801,56,0.087685555,0.691426071,51,0.183728452,0.80210375,52,0.523385886,0.608124054,56,NA
bounce,4,5,1.8,0.410391340834061,1,55,0.954545455,66,0.894736842,57,-0.381910905,0.60536532,53,-0.815256079,0.444359981,62,-0.797364375,0.657137123,51,-0.240930261,0.571181322,53,-0.488142698,0.387558439,62,-0.638355575,0.688189777,51,NA
bound,4,5,1.4,0.502624689950034,0.854545455,55,0.939393939,66,0.928571429,56,-0.563492908,0.76902889,46,-0.238719187,0.72173264,61,-0.6231436,0.490956243,50,0.082343331,0.833646603,46,0.241755292,0.778948638,61,-0.374229375,0.489283781,50,NA
boundary,7,5,2.45,0.604805318829299,0.962962963,54,1,67,0.946428571,56,-0.421541986,0.55079717,52,-0.704471534,0.603958094,66,-0.782027496,0.329070996,53,-0.375471358,0.538603895,52,-0.607714316,0.617482921,66,-0.34790845,0.370269193,53,NA
bountiful,8,5,3.35,0.587142948612399,0.811320755,53,0.882352941,68,0.836363636,55,-0.008473941,0.437926668,42,-0.022088606,0.778885736,60,-0.362045672,0.614563257,45,-0.374719037,0.37597042,42,0.434647345,0.814800251,60,-0.018003051,0.634300463,45,NA
bounty,5,6,1.85,0.36634754853252305,0.888888889,54,0.925373134,67,0.946428571,56,-0.234053681,0.62397553,47,-0.546007559,0.516965236,61,-0.510264332,0.668893055,53,-0.057185031,0.64532718,47,0.026952528,0.556636821,61,0.329527797,0.673115828,53,NA
bourbon,6,5,1.85,0.36634754853252305,0.433962264,53,0.626865672,67,0.722222222,54,0.190392115,0.794963661,21,-0.089365232,0.832994541,41,-0.272189568,0.866071318,34,0.632405891,0.806884455,21,0.505560788,0.856173105,41,0.653249007,0.829934258,34,NA
bout,3,3,1.05,0.223606797749978,0.62962963,54,0.6,65,0.446428571,56,0.202578344,0.925732037,32,0.012620615,0.94958771,37,0.076122584,0.847843107,25,0.91564821,0.875549458,32,0.300109615,0.919705954,37,0.774871808,0.772949567,25,NA
boutique,5,4,2.5,0.512989176042577,0.925925926,54,0.833333333,66,0.929824561,57,-0.257447194,0.784886094,50,-0.259112485,0.939613329,52,-0.401501845,0.645898349,51,-0.190064239,0.674815212,50,-0.282234827,0.865465448,52,-0.129993541,0.630275152,51,NA
bowel,4,4,1.8,0.410391340834061,0.962264151,53,0.926470588,68,0.890909091,55,-0.287845419,0.457122051,51,-0.469376255,0.651486953,61,-0.559838254,0.679878622,48,0.286506696,0.547945991,51,0.273793388,0.650469443,61,0.1564976,0.566175548,48,NA
bowl,3,4,1,0,0.79245283,53,0.880597015,67,0.907407407,54,-0.191207702,0.828577234,40,-0.278984652,0.79626645,56,0.398678494,0.944611487,44,0.567870013,0.80546691,40,0.652543657,0.831721258,56,0.373040247,0.847551751,44,NA
boycott,5,3,2.6,0.502624689950034,0.943396226,53,0.880597015,67,0.944444444,54,-0.399524584,0.322369142,49,-0.161542379,0.679472585,58,-0.583785701,0.589272136,49,-0.392483787,0.300747309,49,-0.425046739,0.381908833,58,0.012987422,0.555593519,49,NA
bracelet,7,5,2.9,0.307793505625546,0.909090909,55,0.954545455,66,0.982142857,56,-0.21502776,0.456320919,50,-0.747713744,0.473152059,62,-0.782529825,0.432970374,55,-0.709646234,0.496290772,50,-0.504579799,0.566319395,62,-0.403006406,0.539740872,55,NA
bracket,6,5,2.2,0.410391340834061,0.909090909,55,0.96969697,66,0.912280702,57,-0.379151297,0.662504586,50,-0.290400753,0.412732335,64,-0.929454662,0.674212407,49,-0.127924316,0.685382443,50,-0.474121926,0.409307549,64,-0.075048867,0.580192794,49,NA
brag,4,5,1.45,0.51041778553404,0.962264151,53,0.955223881,67,0.925925926,54,-0.538064831,0.393114562,50,-0.276048871,0.512729481,61,-0.987215425,0.580243239,49,0.11113331,0.506204611,50,-0.43352599000000003,0.486718545,61,0.149252242,0.54740605,49,NA
branch,5,6,1.7,0.47016234598162704,0.854545455,55,0.954545455,66,0.842105263,57,0.125963148,0.631640723,45,-0.529005315,0.45521907,62,-0.470046801,0.573502787,48,0.242962109,0.654378008,45,-0.098479018,0.458401211,62,-0.177305908,0.529699017,48,NA
brand,5,6,1.6,0.502624689950034,0.927272727,55,0.893939394,66,0.964912281,57,-0.150752424,0.626250075,51,-0.038712091,0.80558832,58,-0.474602253,0.600597995,52,0.360232418,0.629482483,51,0.482057287,0.803900794,58,0.100231622,0.604432929,52,NA
brass,4,5,1.5,0.512989176042577,0.777777778,54,0.818181818,66,0.824561404,57,0.032621182,0.799912532,40,0.048091295,0.611736944,52,-0.157820576,0.768286069,47,0.504624881,0.710151869,40,-0.005218125,0.605958939,52,-0.16289962,0.657789321,47,NA
brave,4,5,1.5,0.512989176042577,0.981132075,53,0.955882353,68,0.925925926,54,-0.293297725,0.594994554,52,-0.534255709,0.516938438,65,-0.5764898,0.617233148,50,-0.135083963,0.603670013,52,-0.432404743,0.437127119,65,-0.088479786,0.63516004,50,NA
bravery,7,5,2.25,0.444261658319319,1,53,0.941176471,68,1,55,-0.492291613,0.680651099,52,-0.676790249,0.521109784,63,-0.671626935,0.590697366,55,-0.651740378,0.59617609,52,-0.016334198,0.60733643,63,-0.531144513,0.559933407,55,NA
breach,4,4,1.5,0.512989176042577,0.962962963,54,0.924242424,66,0.892857143,56,-0.422291683,0.57495671,51,-0.252650524,0.510736488,61,-0.716387566,0.660919794,50,0.230292003,0.545679964,51,-0.209524471,0.455904418,61,-0.098785896,0.653274876,50,NA
breadth,5,5,1.9,0.307793505625546,0.867924528,53,0.552238806,67,0.333333333,54,-0.502852518,0.612727182,44,0.262192372,0.996819063,33,0.350258354,0.87494056,15,0.215509928,0.761625551,44,0.634462763,1.00745352,33,0.737659851,0.926053993,15,NA
breakdown,7,5,2.8,0.410391340834061,0.962264151,53,1,67,0.981481481,54,-0.093404486,0.548526932,50,-0.103858673,0.54089519,64,-0.493784381,0.514064648,52,-0.376401938,0.549308647,50,-0.399914442,0.533394824,64,-0.423784061,0.538028813,52,NA
breakfast,8,4,3.7,0.47016234598162704,0.962962963,54,0.970149254,67,1,56,-0.369935887,0.574842932,51,-0.563411002,0.560589219,64,-0.973945029,0.585733273,55,-0.672765402,0.507279738,51,-0.715735395,0.549026246,64,-1.12696741,0.60819912,55,NA
breast,5,6,1.6,0.502624689950034,0.981132075,53,0.970149254,67,0.962962963,54,-0.609338913,0.74115831,52,-0.545863413,0.553816495,64,-0.869894995,0.606556039,52,0.009092622,0.761888937,52,-0.347583661,0.553098286,64,-0.33120794,0.557817581,52,NA
breath,4,5,1.8,0.410391340834061,1,54,0.923076923,65,1,56,-1.012091389,0.474428534,54,-0.80378404,0.463121924,59,-1.103466644,0.574653263,56,-0.153734578,0.484561834,54,-0.199200371,0.512949811,59,-0.265663153,0.569317209,56,NA
breathtaking,9,5,4.35,0.489360484929592,1,53,1,68,0.981818182,55,0.188544384,0.51280965,51,-0.447599238,0.541168489,67,-0.429655462,0.479832933,53,-0.723393423,0.389016681,51,-0.786109083,0.55214406,67,-0.763878063,0.513032331,53,NA
breed,4,5,1.15,0.36634754853252305,1,53,0.955882353,68,0.944444444,54,-0.322196433,0.595944081,53,-0.036040807,0.787858317,64,-0.455334668,0.691109172,50,0.361622598,0.638118143,53,0.380489702,0.739384835,64,0.216877665,0.714326877,50,NA
brewing,5,4,1.8,0.410391340834061,0.872727273,55,0.909090909,66,0.803571429,56,-0.204231413,0.665550674,48,-0.292174366,0.827594959,58,-0.316272608,0.945908673,42,0.219655807,0.684376593,48,0.024246968,0.778053721,58,0.354067452,0.9104479,42,NA
bribe,4,5,1.8,0.410391340834061,1,54,0.924242424,66,0.947368421,57,-0.605618786,0.615261394,54,-0.291624917,0.556116029,61,-0.724899287,0.51901226,54,0.216144332,0.670154541,54,0.16970387,0.588906621,61,0.190737169,0.4953426,54,NA
brick,4,5,1.3,0.47016234598162704,0.924528302,53,0.985294118,68,0.981818182,55,-0.817675221,0.416064531,48,-0.919525558,0.301182048,66,-0.973913663,0.638817396,53,-0.128947433,0.389764055,48,-0.657060346,0.407269352,66,0.379109122,0.663058893,53,NA
bridal,5,5,1.85,0.36634754853252305,0.943396226,53,0.925373134,67,0.925925926,54,-0.331021929,0.485904663,50,-0.534731292,0.734572413,60,-0.541094812,0.504290747,47,0.006080269,0.519163145,50,0.07077648,0.639622981,60,0.373141601,0.557780422,47,NA
bridesmaid,8,5,4,0,1,55,1,66,0.929824561,57,-0.073696028,0.447264015,54,0.039114818,0.441045825,64,-0.049504704,0.448936345,52,-0.298511663,0.412130122,54,-0.782602616,0.427337412,64,-0.274657029,0.430306319,52,NA
brighten,5,6,1.75,0.444261658319319,0.851851852,54,0.954545455,66,0.964285714,56,-0.198857492,0.787937846,45,-0.489341654,0.657871125,62,-0.74204759,0.564633019,53,0.24160848100000001,0.856505028,45,0.051650661,0.595504306,62,0.304928651,0.582664397,53,NA
brilliant,8,8,2.7,0.571240570577479,1,54,0.954545455,66,0.98245614,57,-0.737685177,0.458389425,54,-0.493871035,0.569381005,63,-0.837649955,0.721182651,56,-0.599874733,0.502426765,54,-0.748128201,0.559389215,63,-0.587553112,0.703438521,56,NA
bring,4,5,1.4,0.502624689950034,0.962962963,54,0.876923077,65,0.857142857,56,-0.561426423,0.825101778,52,-0.26989853,0.61898346,56,-0.711139272,0.944166951,46,0.449789082,0.84261017,52,0.025488181,0.623263357,56,0.3136627,0.994956695,46,NA
brink,5,6,1.6,0.502624689950034,0.836363636,55,0.893939394,66,0.875,56,-0.689538789,0.722447584,46,-0.30464877,0.586741959,58,-0.665232922,0.894946409,49,0.399554175,0.810612678,46,0.02278538,0.645729263,58,0.652791896,0.886758296,49,NA
brisk,5,6,1.7,0.47016234598162704,0.945454545,55,0.878787879,66,0.912280702,57,-0.539964617,0.632543486,52,-0.41022333,0.566363844,57,-0.594873793,0.618352584,50,0.480952769,0.679570788,52,-0.099391717,0.569894407,57,0.26052654,0.663758589,50,NA
broaden,5,5,1.9,0.307793505625546,0.981481481,54,0.939393939,66,0.964912281,57,-0.160274241,0.596238475,52,-0.38156603100000003,0.571482861,62,-0.716648483,0.611778362,55,-0.611127483,0.940049851,52,0.023233478,0.587934486,62,0.172147378,0.670299724,55,NA
broccoli,7,4,2.8,0.410391340834061,0.962264151,53,1,68,0.981818182,55,-0.652064713,0.468675315,51,-0.548651848,0.695468883,66,-0.981809279,0.662917313,53,-0.199461846,0.502641337,51,0.00333797,0.607048255,66,-0.164652897,0.681932006,53,NA
brochure,6,4,2.95,0.223606797749978,0.945454545,55,0.803030303,66,0.964285714,56,-0.34490085,0.632209676,50,-0.127478469,0.694771098,53,-1.025522781,0.419430122,52,-0.32265947,0.607888511,50,0.028960818,0.669613736,53,-0.039099863,0.387170276,52,NA
brokenhearted,12,7,6,0,0.981818182,55,0.96969697,66,0.982142857,56,0.0270618,0.468145762,54,-0.018491211,0.524783242,63,0.503324447,0.688283292,52,-0.598532319,0.460699726,54,-1.147900356,0.53623489,63,-0.775713767,0.581165753,52,NA
brood,4,5,1.25,0.444261658319319,0.6,55,0.545454545,66,0.421052632,57,-0.026210598,1.042060253,32,0.123563788,0.861280217,33,0.334104725,0.799348337,21,1.307904371,1.09319181,32,0.75234973,0.85719635,33,0.681621769,0.679216053,21,NA
brothel,6,5,2.8,0.410391340834061,0.759259259,54,0.582089552,67,0.642857143,56,-0.20902315,0.581677629,41,-0.20027842,0.516405948,39,-0.582706878,0.517488993,36,0.266652864,0.658357111,41,-0.054706022,0.511335613,39,0.644970639,0.629110103,36,NA
browse,4,4,1.55,0.51041778553404,0.943396226,53,0.940298507,67,0.851851852,54,-0.221408779,0.553650507,49,-0.360366211,0.614006076,62,-0.398761608,0.625124786,46,-0.191530077,0.452597712,49,-0.446058521,0.617961344,62,-0.163605817,0.598868731,46,NA
brutal,5,6,1.8,0.410391340834061,0.981481481,54,0.985074627,67,0.98245614,57,-0.564906944,0.364881654,53,-0.776633465,0.554185559,66,-1.160636615,0.544095099,56,-0.259352927,0.369827036,53,-0.172834063,0.604281253,66,-0.090099944,0.489270783,56,NA
buck,3,4,1,0,0.754716981,53,0.850746269,67,0.759259259,54,-0.595062072,0.793480667,39,-0.580826177,0.753663656,57,-0.216385001,0.992398229,39,0.644123357,0.857411689,39,0.162461065,0.788658827,57,0.768936789,0.903648387,39,NA
buckle,5,6,1.65,0.48936048492959294,0.945454545,55,0.939393939,66,0.964285714,56,-0.714566835,0.501940645,52,-0.737258749,0.681187529,62,-1.056682949,0.846401597,53,0.129771017,0.648065039,52,-0.017239798,0.776627708,62,0.529516261,0.856061097,53,NA
buddy,4,4,1.3,0.47016234598162704,0.981481481,54,0.969230769,65,0.964285714,56,-1.104726847,0.347671889,53,-0.647688633,0.631820951,63,-1.221612969,0.766855395,54,0.071125382,0.383639159,53,0.33873817,0.754346495,63,0.476717674,0.738520531,54,NA
budge,3,4,1.25,0.444261658319319,0.773584906,53,0.852941176,68,0.890909091,55,-0.292216319,0.838165206,40,-0.318355881,0.664492476,56,-0.793703398,0.762255844,48,0.538097801,0.828047989,40,0.107750938,0.642485962,56,-0.010833911,0.673866046,48,NA
budget,5,5,1.95,0.223606797749979,0.981132075,53,1,68,0.981818182,55,-0.858458367,0.504792638,52,-0.866753892,0.601288446,66,-0.963706221,0.453533547,53,-0.24175423100000001,0.501032494,52,-0.356859494,0.631713425,66,-0.340949691,0.459407855,53,NA
buffer,5,5,1.55,0.51041778553404,1,54,0.985074627,67,1,56,-0.525713673,0.693933849,52,-1.04774699,0.432809335,65,-1.153172034,0.508036452,56,0.354101223,0.67608608,52,-0.200481061,0.520009375,65,0.313064148,0.549313893,56,NA
buggy,4,4,1.65,0.48936048492959294,0.944444444,54,0.876923077,65,0.839285714,56,-0.58928111,0.750926597,50,-0.607096502,0.517661752,55,-0.993531637,0.630797457,47,0.129976095,0.706666185,50,0.131390657,0.578598433,55,0.654409823,0.632161254,47,NA
bulge,4,5,1.7,0.47016234598162704,0.833333333,54,0.671641791,67,0.859649123,57,0.047595019,0.709178007,42,-0.22777371,0.601672713,45,0.014488661,0.638716828,47,0.471821687,0.702480426,42,0.554376963,0.636039042,45,0.235601899,0.619989699,47,NA
bulk,4,5,1.55,0.51041778553404,0.87037037,54,0.895522388,67,0.877192982,57,-0.138871521,0.661990288,47,-0.135579714,0.70691662,59,-0.684608019,0.821384773,48,0.760822768,0.761388438,47,0.638204507,0.726577516,59,0.361868922,0.801403679,48,NA
bulletin,7,5,2.85,0.36634754853252305,0.943396226,53,0.852941176,68,0.945454545,55,-0.184408886,0.851412778,50,0.173494058,0.734981633,58,-0.692636223,0.781555448,51,-0.045254687,0.836535997,50,0.384297519,0.683154281,58,0.041068503,0.742122878,51,NA
bumblebee,8,7,2.95,0.394034462826206,1,53,0.985074627,67,0.944444444,54,-0.164621157,0.600549384,51,-0.646597106,0.405202277,66,-0.394404931,0.544165641,51,-0.523736335,0.472362999,51,-0.641928854,0.362399144,66,-0.621035748,0.574846233,51,NA
bunch,4,4,1.5,0.512989176042577,0.648148148,54,0.848484848,66,0.719298246,57,0.022498993,0.751669349,33,-0.129866888,0.824019208,55,-0.524294928,0.520362067,39,0.589231738,0.772336418,33,0.331213418,0.826813074,55,0.01341426,0.568665393,39,NA
bungalow,7,7,2.55,0.686332741153259,0.907407407,54,0.969230769,65,0.894736842,57,-0.350146102,0.506256034,48,-0.380391,0.617264079,62,-0.38979861,0.633840208,51,-0.355948064,0.494299037,48,-0.002751214,0.600138893,62,0.191500804,0.688766498,51,NA
burden,5,6,1.85,0.36634754853252305,0.981132075,53,0.955882353,68,0.981481481,54,-0.383228061,0.537976603,52,-0.331073491,0.560272852,65,-0.712771067,0.557884299,52,-0.250887081,0.519109002,52,0.122515227,0.517684762,65,0.197237707,0.595777378,52,NA
bureaucracy,10,9,4.6,0.502624689950034,0.924528302,53,0.970588235,68,0.872727273,55,0.115791579,0.768371583,48,-0.278063603,0.553079644,66,-0.06290375,0.517219509,48,-0.66290341,0.738649169,48,-0.629818377,0.484926755,66,-0.890755945,0.543344017,48,NA
bureaucrat,9,9,4.5,0.606976978666883,1,53,0.955223881,67,0.944444444,54,0.043017087,0.657416063,52,-0.087766457,0.654655165,64,-0.189981567,0.566024449,49,-0.9136031,0.599950337,52,-0.852536682,0.636497053,64,-0.694127073,0.540803968,49,NA
burn,4,5,1,0,0.851851852,54,0.955223881,67,0.928571429,56,-0.300000186,0.51654862,46,-0.353974393,0.576368603,63,-0.736981846,0.762387388,52,0.375347414,0.661862101,46,-0.389445989,0.563374966,63,-0.052400643,0.692369561,52,NA
burst,5,5,1.55,0.51041778553404,0.943396226,53,0.970588235,68,0.818181818,55,-0.291357971,0.627519936,49,-0.383441387,0.468913814,65,-0.123497386,0.724454236,44,0.387947235,0.699412462,49,-0.282084671,0.542343149,65,-0.292030184,0.67018356,44,NA
bus,3,4,1,0,0.851851852,54,0.954545455,66,0.928571429,56,-0.716118,0.808266863,43,-0.313630381,0.881564971,60,-0.243438967,0.941157789,52,0.507186548,0.832797849,43,0.141039657,0.880139838,60,0.571491868,0.90938286,52,NA
business,6,7,2.25,0.638666373658505,1,54,1,65,0.98245614,57,-0.633165355,0.352269232,54,-0.466405578,0.70026928,65,-1.092317404,0.667907505,56,-0.537908727,0.381459792,54,-0.783957401,0.754870109,65,-0.843941305,0.626219037,56,NA
bustle,5,4,1.7,0.47016234598162704,0.622641509,53,0.611940299,67,0.5,54,-0.116153814,0.71981102,32,-0.037246315,1.029786322,40,-0.61149303,0.988402748,26,0.351724288,0.689225789,32,0.995158744,0.938869244,40,0.723537964,0.898147634,26,NA
busy,4,5,1.75,0.444261658319319,1,54,1,67,1,57,-0.772588728,0.603382987,54,-0.622529515,0.80968026,65,-1.48731526,0.519167238,57,-0.256894399,0.624393029,54,-0.146679366,0.826091107,65,0.092714774,0.604132747,57,NA
busybody,8,5,4.15,0.587142948612399,0.962264151,53,0.985294118,68,0.981481481,54,0.026266121,0.574086883,51,-0.143452638,0.575792198,66,-0.604350951,0.576012915,52,-0.338317773,0.48740962,51,-0.243406631,0.544065795,66,-0.477323557,0.574901203,52,NA
buttocks,6,5,2.55,0.51041778553404,0.962264151,53,0.656716418,67,0.481481481,54,-0.405872992,0.524155355,50,-0.213895856,0.803302107,40,0.206761416,0.867049152,25,-0.353142425,0.536464467,50,-0.055691703,0.760857639,40,0.406372468,0.816623024,25,NA
button,4,5,1.5,0.512989176042577,0.690909091,55,0.863636364,66,0.894736842,57,-0.375877299,0.675640422,38,-0.700298488,0.659670504,57,-0.839029664,0.698435304,51,0.717314611,0.900961819,38,0.317641893,0.728511233,57,0.6591522,0.867335451,51,NA
buy,2,3,1,0,1,54,0.96969697,66,0.892857143,56,-0.521421268,0.482858958,51,-0.048172708,0.783546819,59,-0.446898577,0.852385767,48,0.33419127,0.533488992,51,0.352991781,0.790555846,59,0.878336562,0.911622116,48,NA
bypass,5,5,2.55,0.604805318829299,0.854545455,55,1,66,0.912280702,57,0.184042678,0.582542878,46,-0.12613252,0.670049525,65,-0.22366572,0.520896358,51,-0.664337024,0.605058075,46,-0.86561757,0.705361362,65,-0.880466915,0.55262115,51,NA
cabinet,7,6,2.8,0.410391340834061,0.981818182,55,0.954545455,66,0.964912281,57,-0.561184101,0.656142445,54,-0.677345031,0.535442307,62,-0.819914894,0.486932861,53,-0.678256882,0.551510929,54,-0.365675739,0.523533972,62,-0.325825082,0.525406244,53,NA
cable,5,6,1.65,0.48936048492959294,1,55,0.984848485,66,1,57,-0.679293132,0.523898685,54,-0.845188681,0.593879382,64,-0.830923064,0.51659104,55,-0.113171618,0.474875517,54,0.157335908,0.653437829,64,0.116150769,0.564626813,55,NA
cactus,6,4,2,0,0.981818182,55,0.984848485,66,1,57,-0.775139817,0.771476114,53,-0.790844192,0.481926302,65,-0.725967452,0.513381157,57,-0.695848253,0.711686125,53,-0.63362662300000006,0.514965307,65,-1.234764854,0.547188929,57,NA
cadaver,7,8,2.8,0.410391340834061,0.518518519,54,0.553846154,65,0.5,56,-0.069648208,0.893077503,27,-0.199311142,0.861504771,34,-0.378783322,0.519185951,27,0.216372472,0.832896008,27,0.278367859,0.843905364,34,0.392280178,0.52665343,27,NA
cafeteria,9,4,4,0,0.944444444,54,0.984615385,65,1,57,0.133851349,0.691909255,49,-0.217081024,0.598555037,64,-0.380225413,0.573179587,57,-0.370142179,0.667042533,49,-0.865830438,0.504204704,64,-0.716490307,0.539717282,57,NA
caffeine,5,4,2.1,0.307793505625546,0.963636364,55,1,66,0.928571429,56,-0.731430452,0.652771,53,-0.658832052,0.504729624,66,-0.401570818,0.762035701,52,-0.227755657,0.652155509,53,-0.637812402,0.481189509,66,-0.120306806,0.722121591,52,NA
calculate,9,9,3.2,0.523148363780596,0.925925926,54,0.984615385,65,0.964912281,57,-0.505761829,0.417706666,49,-0.238273494,0.585516737,63,-0.308614122,0.462414593,53,-0.750325495,0.53551077,49,-0.575912227,0.56786280200000006,63,-0.634318708,0.485566997,53,NA
calculation,11,9,2.85,0.36634754853252305,1,53,0.955882353,68,0.963636364,55,-0.152808014,0.41713979,53,-0.054444214,0.474525314,64,-0.23562255,0.423083907,52,-0.95851680399999994,0.372135287,53,-0.624536182,0.430221615,64,-0.654145185,0.36251727,52,NA
