item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
achieve,7.75,4.70,3.5,4.79,7,7.33,2.57,2.65,2.30,.67,.27,.40,.83,.27,.57,2.75,.75,.27,.48,12.93
acid,3.26,4.77,5.9,4.94,4,9.96,2.71,1.70,1.85,.87,.10,.77,.70,.40,.30,1.74,.78,.25,.53,8.30
acne,2.18,4.47,6.4,5.15,4,.90,1.67,1.75,1.85,.97,.17,.80,.90,.03,.87,2.82,.93,.10,.83,12.61
acorn,5.85,4.42,6.1,4.21,5,.73,1.58,1.80,1.85,.70,.07,.63,.83,.13,.70,.85,.77,.10,.67,3.76
acquire,5.50,4.86,3.0,5.30,7,2.65,2.13,2.55,1.80,.67,.20,.47,.60,.37,.23,.50,.63,.28,.35,2.43
acre,5.53,2.73,5.2,4.82,4,1.82,1.97,1.70,1.60,.67,.07,.60,.97,.13,.83,.53,.82,.10,.72,1.45
action,6.00,6.19,4.1,4.18,6,61.08,3.49,1.85,1.80,.50,.30,.20,.57,.40,.17,1.00,.53,.35,.18,6.19
active,6.47,5.62,4.7,4.27,6,11.45,2.77,2.10,2.10,.63,.17,.47,.70,.37,.33,1.47,.67,.27,.40,8.26
actor,6.15,4.35,6.0,3.94,5,26.33,3.13,1.90,1.75,.60,.17,.43,.70,.20,.50,1.15,.65,.18,.47,5.00
actress,5.42,5.43,6.4,4.12,7,16.02,2.91,2.35,2.20,.70,.10,.60,.63,.13,.50,.42,.67,.12,.55,2.28
acute,5.10,5.09,3.0,5.64,5,2.94,2.18,1.95,1.90,.80,.23,.57,.87,.33,.53,.10,.83,.28,.55,.51
adage,5.55,3.38,1.6,6.18,5,.63,1.52,2.00,1.95,.60,.17,.43,.47,.10,.37,.55,.53,.13,.40,1.86
adapt,5.84,3.90,2.8,5.45,5,2.63,2.13,1.95,1.90,.77,.40,.37,.63,.40,.23,.84,.70,.40,.30,3.28
addict,2.86,5.33,5.3,5.42,6,5.35,2.44,2.45,1.90,.90,.23,.67,.90,.13,.77,2.14,.90,.18,.72,11.41
address,6.11,3.05,4.9,3.52,7,52.27,3.43,2.45,2.10,.73,.23,.50,.57,.10,.47,1.11,.65,.17,.48,3.39
adept,6.14,4.17,1.8,5.94,5,.65,1.53,1.90,1.90,.70,.17,.53,.53,.13,.40,1.14,.62,.15,.47,4.75
adhere,5.17,3.52,3.2,5.88,6,.57,1.48,2.00,2.00,.73,.10,.63,.73,.33,.40,.17,.73,.22,.52,.60
adjourn,5.50,3.15,2.1,6.15,7,1.29,1.83,2.85,2.50,.67,.10,.57,.83,.13,.70,.50,.75,.12,.63,1.58
adjust,5.76,3.00,3.4,5.21,6,5.63,2.46,2.45,2.35,.63,.30,.33,.43,.23,.20,.76,.53,.27,.27,2.28
admire,7.35,5.00,3.3,4.67,6,14.16,2.86,1.85,2.20,.80,.33,.47,.57,.33,.23,2.35,.68,.33,.35,11.75
admit,5.56,3.35,2.8,4.33,5,59.20,3.48,2.00,2.00,.73,.13,.60,.60,.23,.37,.56,.67,.18,.48,1.88
ado,4.82,3.33,2.0,5.97,3,1.51,1.89,1.70,1.70,.83,.03,.80,.87,.03,.83,.18,.85,.03,.82,.60
adopt,6.90,4.71,3.6,4.64,5,4.67,2.38,1.85,1.85,.73,.20,.53,.73,.20,.53,1.90,.73,.20,.53,8.95
adore,7.37,5.96,3.7,4.85,5,7.73,2.60,1.80,1.75,.73,.10,.63,.80,.27,.53,2.37,.77,.18,.58,14.13
adrift,4.36,3.19,3.2,5.64,6,1.00,1.72,2.45,2.45,.60,.03,.57,.53,.23,.30,.64,.57,.13,.43,2.04
adult,5.90,4.36,6.4,3.52,5,14.29,2.86,1.95,1.90,.83,.20,.63,.70,.13,.57,.90,.77,.17,.60,3.92
advance,6.11,4.62,3.1,5.00,7,15.98,2.91,2.60,2.55,.50,.37,.13,.50,.23,.27,1.11,.50,.30,.20,5.13
adverse,3.68,3.89,2.1,6.06,7,.71,1.57,2.30,2.40,.73,.37,.37,.80,.33,.47,1.32,.77,.35,.42,5.13
advice,5.78,3.05,3.2,4.85,6,47.98,3.39,2.30,2.40,.63,.27,.37,.50,.27,.23,.78,.57,.27,.30,2.38
advise,5.44,3.38,2.9,5.15,6,12.20,2.79,2.20,1.95,.70,.43,.27,.70,.33,.37,.44,.70,.38,.32,1.49
afar,,,2.4,5.18,4,1.16,1.78,1.85,1.90,.73,.17,.57,.70,.10,.60,,.72,.13,.58,
affair,3.10,5.40,4.3,5.39,6,29.45,3.18,2.55,1.75,.77,.13,.63,.77,.27,.50,1.90,.77,.20,.57,10.26
affect,5.65,3.61,3.1,4.64,6,11.14,2.76,2.45,1.90,.70,.33,.37,.60,.30,.30,.65,.65,.32,.33,2.35
afford,6.56,4.33,4.0,5.03,6,44.43,3.36,2.50,1.70,.60,.17,.43,.67,.20,.47,1.56,.63,.18,.45,6.75
affront,4.53,4.50,1.6,5.79,7,.59,1.49,2.80,2.60,.50,.20,.30,.50,.17,.33,.47,.50,.18,.32,2.12
afloat,5.57,4.13,4.6,5.09,6,1.67,1.93,2.55,1.95,.87,.07,.80,.63,.13,.50,.57,.75,.10,.65,2.35
afoot,,,2.5,5.58,5,1.02,1.72,1.95,1.95,.63,.17,.47,.73,.07,.67,,.68,.12,.57,
afraid,2.25,5.12,4.8,3.58,6,247.67,4.10,2.60,1.95,.67,.13,.53,.57,.23,.33,2.75,.62,.18,.43,14.08
after,,,2.3,3.45,5,682.59,4.54,1.85,1.80,.63,.13,.50,.47,.10,.37,,.55,.12,.43,
again,,,2.0,3.42,5,792.71,4.61,1.95,2.00,.77,.20,.57,.43,.20,.23,,.60,.20,.40,
against,,,3.1,4.12,7,201.73,4.01,2.90,2.30,.60,.23,.37,.53,.27,.27,,.57,.25,.32,
agent,5.23,3.43,5.6,5.03,5,102.65,3.72,1.90,2.35,.70,.17,.53,.73,.17,.57,.23,.72,.17,.55,.79
ago,,,1.8,3.79,3,286.12,4.16,1.80,1.85,.70,.07,.63,.70,.03,.67,,.70,.05,.65,
agree,7.17,3.62,3.4,3.97,5,64.67,3.52,1.90,1.85,.60,.30,.30,.57,.17,.40,2.17,.58,.23,.35,7.86
agreed,,,2.4,4.09,6,35.92,3.26,2.10,1.75,.67,.20,.47,.60,.27,.33,,.63,.23,.40,
ahead,,,3.7,4.06,5,198.33,4.00,1.95,1.90,.43,.10,.33,.70,.23,.47,,.57,.17,.40,
ailment,3.00,3.68,3.4,5.73,7,.51,1.43,2.45,2.05,.60,.07,.53,.63,.20,.43,2.00,.62,.13,.48,7.36
airport,6.00,5.50,6.8,3.82,7,38.04,3.29,2.70,2.65,.57,.13,.43,.63,.07,.57,1.00,.60,.10,.50,5.50
alarm,3.86,6.85,6.0,3.76,5,29.84,3.18,1.95,2.15,.57,.23,.33,.87,.10,.77,1.14,.72,.17,.55,7.81
alas,,,2.1,6.03,4,3.82,2.29,1.75,1.75,.83,.10,.73,.87,.27,.60,,.85,.18,.67,
album,6.19,5.63,6.1,4.21,5,10.24,2.72,2.30,1.90,.83,.10,.73,.60,.10,.50,1.19,.72,.10,.62,6.70
alert,5.38,5.14,4.4,4.64,5,20.61,3.02,1.85,1.80,.53,.40,.13,.77,.40,.37,.38,.65,.40,.25,1.95
align,5.95,3.32,3.6,5.64,5,.67,1.54,1.90,1.65,.73,.30,.43,.60,.27,.33,.95,.67,.28,.38,3.15
alike,,,3.6,4.12,5,11.35,2.76,1.85,1.80,.63,.10,.53,.47,.07,.40,,.55,.08,.47,
alive,6.57,5.93,5.0,3.70,5,154.47,3.90,1.80,1.85,.60,.20,.40,.60,.03,.57,1.57,.60,.12,.48,9.31
alley,4.17,4.08,6.4,4.30,5,16.29,2.92,1.65,1.00,.77,.20,.57,.77,.37,.40,.83,.77,.28,.48,3.39
allow,6.39,2.95,2.2,4.00,5,44.37,3.35,1.50,1.65,.73,.20,.53,.70,.13,.57,1.39,.72,.17,.55,4.10
alloy,5.20,3.32,4.4,5.88,5,1.02,1.72,1.70,1.85,.80,.20,.60,.77,.33,.43,.20,.78,.27,.52,.66
allure,6.90,4.25,3.1,5.58,6,.59,1.49,2.55,1.80,.70,.13,.57,.83,.33,.50,1.90,.77,.23,.53,8.08
ally,6.05,4.80,4.8,5.03,4,32.67,3.22,1.50,1.60,.70,.20,.50,.70,.30,.40,1.05,.70,.25,.45,5.04
almond,6.05,2.89,6.8,4.09,6,1.10,1.76,2.40,2.00,.90,.07,.83,.73,.10,.63,1.05,.82,.08,.73,3.03
almost,,,2.8,3.94,6,193.27,3.99,2.40,2.85,.53,.27,.27,.57,.27,.30,,.55,.27,.28,
aloft,,,3.0,5.67,5,.73,1.58,1.95,1.95,.80,.13,.67,.70,.13,.57,,.75,.13,.62,
alone,3.85,4.00,4.5,3.67,5,308.53,4.20,1.75,1.60,.70,.30,.40,.77,.23,.53,1.15,.73,.27,.47,4.60
along,,,2.3,4.27,5,182.94,3.97,1.85,1.90,.53,.23,.30,.50,.17,.33,,.52,.20,.32,
aloof,4.59,3.09,2.4,5.73,5,.65,1.53,2.00,2.00,.83,.13,.70,.87,.13,.73,.41,.85,.13,.72,1.27
aloud,,,3.4,4.27,5,1.84,1.98,1.90,1.70,.60,.13,.47,.72,.31,.41,,.66,.22,.44,
alpha,5.50,3.67,4.0,5.52,5,8.12,2.62,2.80,1.95,.90,.00,.90,.87,.10,.77,.50,.88,.05,.83,1.84
alright,,,2.2,3.94,7,79.29,3.61,2.25,2.20,.67,.07,.60,.57,.13,.43,,.62,.10,.52,
also,,,1.8,3.58,4,206.43,4.02,1.95,1.95,.53,.13,.40,.70,.27,.43,,.62,.20,.42,
altar,5.59,4.05,5.4,4.97,5,5.08,2.42,1.95,1.70,.83,.33,.50,.73,.47,.27,.59,.78,.40,.38,2.39
alter,4.57,4.17,5.1,4.79,5,4.78,2.39,1.60,1.70,.80,.40,.40,.77,.50,.27,.43,.78,.45,.33,1.79
although,,,1.7,4.58,8,42.02,3.33,3.55,2.05,.60,.13,.47,.50,.10,.40,,.55,.12,.43,
alto,,,3.5,5.39,4,1.35,1.85,1.90,1.95,.70,.03,.67,.80,.10,.70,,.75,.07,.68,
always,,,2.7,3.61,6,655.25,4.52,2.25,2.55,.57,.17,.40,.67,.17,.50,,.62,.17,.45,
amaze,7.24,5.00,3.2,4.45,5,1.61,1.92,1.90,1.80,.63,.03,.60,.60,.13,.47,2.24,.62,.08,.53,11.20
amber,6.15,3.36,5.0,5.06,5,9.27,2.68,1.85,1.80,.67,.03,.63,.77,.23,.53,1.15,.72,.13,.58,3.86
ambush,3.17,5.58,4.7,5.73,6,5.43,2.44,2.65,2.70,.73,.23,.50,.77,.23,.53,1.83,.75,.23,.52,10.21
amen,,,3.8,3.36,4,25.98,3.12,1.85,1.95,.93,.10,.83,.70,.23,.47,,.82,.17,.65,
amend,5.85,3.06,2.3,5.58,5,.75,1.59,1.90,1.70,.87,.23,.63,.67,.47,.20,.85,.77,.35,.42,2.60
amid,,,2.4,5.58,4,.88,1.66,1.75,1.95,.60,.07,.53,.70,.17,.53,,.65,.12,.53,
amidst,,,2.9,5.88,6,.69,1.56,2.55,2.40,.73,.20,.53,.63,.13,.50,,.68,.17,.52,
amiss,,,2.0,5.70,5,.75,1.59,1.90,1.80,.63,.17,.47,.70,.13,.57,,.67,.15,.52,
ammo,4.18,5.53,5.6,5.33,4,5.37,2.44,2.00,1.70,.63,.03,.60,.77,.13,.63,.82,.70,.08,.62,4.53
among,,,2.4,4.36,5,33.90,3.24,1.95,1.95,.60,.13,.47,.67,.20,.47,,.63,.17,.47,
amount,5.42,3.53,3.1,4.30,6,24.75,3.10,2.15,2.25,.43,.20,.23,.37,.13,.23,.42,.40,.17,.23,1.48
amuck,4.00,4.41,2.2,6.12,5,.51,1.43,1.95,1.95,.70,.03,.67,.72,.10,.62,1.00,.71,.07,.64,4.41
amuse,7.10,5.17,3.6,5.24,5,2.61,2.13,1.85,1.80,.63,.10,.53,.77,.27,.50,2.10,.70,.18,.52,10.86
anchor,5.16,3.32,6.2,4.48,6,7.41,2.58,2.35,1.55,.83,.13,.70,.77,.20,.57,.16,.80,.17,.63,.53
ancient,7.24,3.48,5.5,4.79,7,21.67,3.04,2.55,2.75,.70,.10,.60,.70,.10,.60,2.24,.70,.10,.60,7.80
android,5.62,3.50,3.6,6.03,,,,,,.97,.03,.93,.87,.13,.73,.62,.92,.08,.83,2.17
anew,,,1.7,5.70,4,.86,1.65,1.90,1.75,.57,.10,.47,.67,.23,.43,,.62,.17,.45,
angel,7.71,4.24,6.5,3.15,5,78.27,3.60,1.85,2.35,.87,.13,.73,.72,.24,.48,2.71,.80,.19,.61,11.49
anger,2.50,5.93,4.9,3.79,5,19.43,3.00,1.65,1.80,.70,.23,.47,.57,.27,.30,2.50,.63,.25,.38,14.83
angle,4.55,3.22,5.3,4.36,5,14.92,2.88,1.55,1.65,.87,.13,.73,.60,.30,.30,.45,.73,.22,.52,1.45
angry,2.53,6.20,5.2,3.30,5,58.98,3.48,2.00,2.45,.83,.33,.50,.67,.33,.33,2.47,.75,.33,.42,15.31
anguish,3.14,5.41,3.4,5.94,7,2.16,2.05,2.75,2.55,.77,.37,.40,.60,.20,.40,1.86,.68,.28,.40,10.06
ankle,5.40,3.11,6.6,3.64,5,8.02,2.61,1.85,1.85,.73,.07,.67,.70,.20,.50,.40,.72,.13,.58,1.24
annals,4.80,2.60,2.5,6.24,6,.65,1.53,2.40,1.90,.90,.03,.87,.73,.10,.63,.20,.82,.07,.75,.52
annex,4.41,4.00,3.0,5.94,5,.84,1.64,1.95,1.95,.83,.13,.70,.73,.10,.63,.59,.78,.12,.67,2.36
announce,5.52,3.65,3.1,4.94,8,9.76,2.70,2.50,1.95,.50,.17,.33,.63,.17,.47,.52,.57,.17,.40,1.90
annoy,2.49,5.04,4.5,4.18,5,2.51,2.11,1.95,1.85,.83,.13,.70,.70,.17,.53,2.51,.77,.15,.62,12.65
answer,6.10,4.00,4.1,3.45,6,176.20,3.95,2.60,1.75,.67,.10,.57,.57,.27,.30,1.10,.62,.18,.43,4.40
ante,,,2.6,6.06,4,2.18,2.05,1.75,1.60,.87,.13,.73,.90,.03,.87,,.88,.08,.80,
anthem,5.95,4.48,4.6,4.36,6,1.88,1.99,2.60,2.15,.80,.20,.60,.73,.27,.47,.95,.77,.23,.53,4.26
anthrax,2.32,4.72,5.1,6.00,7,1.29,1.83,3.25,3.40,.87,.07,.80,.83,.00,.83,2.68,.85,.03,.82,12.65
antique,6.50,4.00,6.0,4.82,7,6.06,2.49,2.75,2.25,.67,.13,.53,.77,.20,.57,1.50,.72,.17,.55,6.00
antsy,4.36,5.23,3.5,5.33,,,,,,.67,.13,.53,.77,.03,.73,.64,.72,.08,.63,3.35
anvil,5.05,4.40,4.8,5.76,5,.63,1.52,2.10,2.00,.80,.10,.70,.70,.13,.57,.05,.75,.12,.63,.22
anxious,3.80,6.20,4.2,5.06,7,14.10,2.86,2.80,2.70,.63,.33,.30,.70,.27,.43,1.20,.67,.30,.37,7.44
any,,,1.9,3.33,3,1099.37,4.75,1.60,1.55,.67,.00,.67,.63,.10,.53,,.65,.05,.60,
apart,,,3.6,4.12,5,47.02,3.38,1.95,1.95,.70,.40,.30,.50,.37,.13,,.60,.38,.22,
apex,5.52,3.48,2.6,6.21,4,.84,1.64,1.90,1.85,.80,.00,.80,.73,.07,.67,.52,.77,.03,.73,1.81
appeal,6.30,3.57,3.3,5.30,6,13.00,2.82,2.40,1.60,.63,.20,.43,.70,.30,.40,1.30,.67,.25,.42,4.64
appear,5.25,3.24,4.2,4.33,6,23.37,3.08,2.30,1.75,.60,.27,.33,.63,.23,.40,.25,.62,.25,.37,.81
applaud,6.70,5.05,5.8,4.42,7,2.14,2.04,2.85,1.95,.77,.03,.73,.60,.13,.47,1.70,.68,.08,.60,8.59
applause,7.12,5.38,5.3,4.36,8,11.29,2.76,3.05,1.95,.67,.03,.63,.60,.17,.43,2.12,.63,.10,.53,11.41
apple,6.62,3.52,6.8,2.55,5,23.67,3.08,1.80,1.75,.80,.10,.70,.73,.00,.73,1.62,.77,.05,.72,5.70
apply,5.16,3.24,3.0,4.85,5,12.51,2.81,1.95,1.80,.60,.20,.40,.73,.20,.53,.16,.67,.20,.47,.52
appoint,5.95,4.25,3.3,5.33,7,2.04,2.02,2.70,2.35,.50,.20,.30,.53,.17,.37,.95,.52,.18,.33,4.04
approach,5.45,4.48,3.8,4.76,8,20.98,3.03,3.15,2.50,.70,.23,.47,.57,.30,.27,.45,.63,.27,.37,2.02
approve,7.00,4.09,3.3,4.21,7,11.37,2.76,2.55,1.85,.60,.27,.33,.47,.43,.03,2.00,.53,.35,.18,8.18
apron,5.80,2.90,6.2,4.30,5,2.67,2.14,1.85,1.90,.70,.17,.53,.73,.20,.53,.80,.72,.18,.53,2.32
arbor,,,4.1,5.12,5,.76,1.60,1.90,1.75,.57,.17,.40,.63,.30,.33,,.60,.23,.37,
arcade,6.45,6.10,6.6,4.15,6,2.18,2.05,2.25,2.00,.67,.07,.60,.70,.10,.60,1.45,.68,.08,.60,8.85
archive,4.81,4.18,3.7,5.48,,,,,,.83,.23,.60,.73,.17,.57,.19,.78,.20,.58,.79
arctic,4.45,3.88,6.0,4.73,6,1.96,2.00,2.45,2.60,.77,.07,.70,.67,.13,.53,.55,.72,.10,.62,2.13
ardent,4.95,4.62,1.4,5.97,6,.59,1.49,2.00,2.40,.53,.20,.33,.57,.07,.50,.05,.55,.13,.42,.23
argue,3.15,6.67,4.6,4.24,5,19.75,3.00,1.90,2.70,.57,.27,.30,.60,.23,.37,1.85,.58,.25,.33,12.34
arise,6.17,4.76,3.5,5.12,5,2.96,2.18,1.80,1.70,.77,.37,.40,.77,.20,.57,1.17,.77,.28,.48,5.57
armor,6.10,3.29,6.1,4.88,5,7.29,2.57,1.85,1.70,.70,.30,.40,.73,.33,.40,1.10,.72,.32,.40,3.62
armour,,,5.6,5.09,,,,,,.77,.13,.63,.77,.20,.57,,.77,.17,.60,
army,4.65,4.49,6.6,4.09,4,85.69,3.64,1.80,1.75,.60,.03,.57,.73,.07,.67,.35,.67,.05,.62,1.57
arose,,,3.6,5.33,5,.82,1.63,1.80,2.00,.90,.17,.73,.73,.13,.60,,.82,.15,.67,
around,,,3.1,3.88,6,736.73,4.57,1.80,2.15,.57,.17,.40,.63,.10,.53,,.60,.13,.47,
arouse,6.67,6.21,4.5,5.79,6,1.22,1.80,1.70,1.90,.90,.20,.70,.73,.27,.47,1.67,.82,.23,.58,10.37
arrange,5.15,3.57,3.2,4.79,7,15.51,2.90,2.30,2.40,.53,.30,.23,.57,.17,.40,.15,.55,.23,.32,.54
array,5.90,3.71,2.5,5.61,5,2.12,2.04,2.00,1.85,.77,.23,.53,.66,.21,.45,.90,.71,.22,.49,3.34
arrest,2.33,6.86,6.2,4.52,6,59.55,3.48,1.95,1.75,.90,.23,.67,.70,.30,.40,2.67,.80,.27,.53,18.32
arrive,6.41,5.00,3.9,4.55,6,18.69,2.98,2.40,1.95,.63,.30,.33,.57,.20,.37,1.41,.60,.25,.35,7.05
arrow,5.24,3.91,6.6,4.00,5,7.84,2.60,1.70,1.10,.63,.13,.50,.70,.30,.40,.24,.67,.22,.45,.94
arson,2.26,5.41,5.1,5.94,5,3.00,2.19,1.90,1.90,.73,.13,.60,.87,.13,.73,2.74,.80,.13,.67,14.82
artist,6.76,4.10,6.1,3.85,6,28.63,3.16,2.10,1.90,.67,.07,.60,.63,.17,.47,1.76,.65,.12,.53,7.22
ascend,6.19,4.13,3.5,5.58,6,.92,1.68,2.15,1.65,.70,.20,.50,.80,.37,.43,1.19,.75,.28,.47,4.91
aside,,,2.8,4.97,5,23.76,3.08,1.80,1.75,.63,.10,.53,.53,.37,.17,,.58,.23,.35,
asleep,6.50,2.00,5.8,3.09,6,49.82,3.41,2.45,2.05,.67,.17,.50,.50,.10,.40,1.50,.58,.13,.45,3.00
aspect,4.89,3.39,1.9,5.73,6,3.86,2.30,2.15,2.30,.60,.27,.33,.73,.47,.27,.11,.67,.37,.30,.37
aspen,6.57,4.11,5.0,5.48,5,1.88,1.99,1.95,2.00,.70,.13,.57,.83,.10,.73,1.57,.77,.12,.65,6.45
asphalt,4.46,3.20,5.4,5.15,7,.96,1.70,3.00,2.80,.67,.07,.60,.73,.10,.63,.54,.70,.08,.62,1.73
aspire,6.43,3.68,3.6,5.55,6,1.08,1.75,1.85,1.85,.63,.27,.37,.70,.30,.40,1.43,.67,.28,.38,5.26
assault,2.05,6.80,5.4,5.55,7,17.57,2.95,2.80,1.80,.83,.23,.60,.73,.37,.37,2.95,.78,.30,.48,20.06
assert,5.68,4.64,2.4,5.45,6,.84,1.64,1.80,1.85,.70,.33,.37,.67,.50,.17,.68,.68,.42,.27,3.16
assess,5.84,3.45,2.9,5.58,6,1.63,1.92,1.90,1.90,.83,.17,.67,.77,.17,.60,.84,.80,.17,.63,2.90
asset,7.25,4.43,3.8,5.67,5,3.78,2.29,1.75,1.85,.63,.37,.27,.77,.37,.40,2.25,.70,.37,.33,9.97
assign,4.75,3.71,3.3,4.55,6,2.71,2.14,2.35,1.70,.70,.20,.50,.62,.34,.28,.25,.66,.27,.39,.93
assist,5.95,3.76,3.6,5.03,6,7.84,2.60,2.25,1.85,.90,.27,.63,.70,.37,.33,.95,.80,.32,.48,3.57
assume,4.41,4.20,2.2,5.09,6,33.47,3.23,2.40,1.90,.67,.37,.30,.70,.47,.23,.59,.68,.42,.27,2.48
assure,6.33,3.10,2.4,5.15,6,20.02,3.01,1.85,1.70,.67,.37,.30,.73,.43,.30,1.33,.70,.40,.30,4.12
asthma,2.45,4.50,5.4,4.85,6,3.86,2.30,3.00,2.00,.93,.13,.80,.83,.17,.67,2.55,.88,.15,.73,11.48
astral,5.32,5.13,1.6,6.27,6,.96,1.70,2.40,2.70,.67,.07,.60,.57,.07,.50,.32,.62,.07,.55,1.64
astray,,,3.6,5.88,6,1.49,1.89,2.15,2.10,.70,.13,.57,.57,.33,.23,,.63,.23,.40,
astute,6.22,3.16,2.2,5.94,6,1.00,1.72,2.65,2.00,.73,.07,.67,.53,.17,.37,1.22,.63,.12,.52,3.86
athlete,6.21,4.75,6.2,4.21,7,4.61,2.37,2.85,2.10,.80,.10,.70,.77,.13,.63,1.21,.78,.12,.67,5.75
atlas,5.95,2.50,6.1,4.79,5,1.02,1.72,2.25,1.85,.77,.10,.67,.73,.27,.47,.95,.75,.18,.57,2.38
atom,5.74,4.29,5.7,5.76,4,2.75,2.15,1.85,1.60,.80,.00,.80,.70,.17,.53,.74,.75,.08,.67,3.17
atone,5.60,4.00,2.3,6.03,5,.84,1.64,1.85,1.80,.70,.17,.53,.70,.20,.50,.60,.70,.18,.52,2.40
attach,5.26,3.81,3.9,4.33,6,2.47,2.10,2.40,1.95,.70,.30,.40,.67,.17,.50,.26,.68,.23,.45,.99
attack,2.00,7.05,4.9,4.06,6,75.55,3.59,2.30,1.75,.63,.27,.37,.53,.33,.20,3.00,.58,.30,.28,21.15
attain,5.85,3.11,3.1,5.36,6,.92,1.68,2.10,1.75,.70,.27,.43,.67,.23,.43,.85,.68,.25,.43,2.64
attempt,6.00,4.94,2.9,5.09,7,19.12,2.99,2.80,2.20,.70,.43,.27,.63,.33,.30,1.00,.67,.38,.28,4.94
attend,5.40,3.50,4.3,4.30,6,14.02,2.85,1.95,1.60,.73,.43,.30,.63,.30,.33,.40,.68,.37,.32,1.40
attic,4.95,3.45,6.4,3.82,5,7.84,2.60,2.05,1.80,.77,.33,.43,.73,.30,.43,.05,.75,.32,.43,.17
attire,6.16,3.95,5.2,5.36,6,1.49,1.89,2.40,1.85,.67,.47,.20,.70,.27,.43,1.16,.68,.37,.32,4.58
